RowNames,p4075,p4076,p4077,p4078,p4079,p4080
BA0485,1.26,1.07,1.31,0.78,0.97,1.11
BA0493,1.07,0.64,0.81,1.13,1.08,1.48
BA0517,0.93,0.89,1.13,1.02,1.04,1.23
BA0523,0.93,0.96,1.16,0.82,0.84,1.17
BA0543,1.17,0.87,0.74,0.99,0.96,0.86
BA0559,0.72,0.87,1.07,0.99,1.08,1.14
BA0593,0.94,0.86,1.26,1.06,1.03,1.17
DH0087,0.92,0.95,1.03,1.03,1,1.18
HW0339,0.78,1.27,0.93,0.78,0.86,0.98
HW0373,0.96,0.85,0.94,1.17,1.06,0.89
HW0375,1.06,1,1.3,1.07,1.03,1.01
HW0413,1.04,0.97,0.98,1.01,0.99,0.96
HW0417,0.77,0.88,0.86,0.75,0.75,0.79
HW0433,1.06,0.98,1.04,1,0.95,0.98
JL0667,1.19,1.11,1.06,0.92,0.98,1.13
JL0671,0.98,1.04,1.05,1.07,0.99,0.94
JL0673,1.12,1.1,1.57,0.76,1.02,1.05
JT2645,1,1.1,1.06,0.98,0.89,0.68
JT2647,1.1,1.13,1.47,1.02,0.81,0.99
JT2665,1.26,1.49,1.5,1.25,1.11,1.06
JT2729,1.12,1.05,0.96,0.92,0.97,0.92
JT2731,1.11,1.06,1.09,0.98,0.98,0.96
JT3329,1.17,1.08,1.36,1.1,1.09,1.09
JT437,0.87,0.99,1.12,0.82,0.85,1.04
LH0835,1.41,1.14,1.28,1.11,1.12,1.17
LH0837,0.83,0.94,1.38,1,0.89,0.95
LH0843,1.26,0.86,0.91,1.07,0.88,1.02
LH0849,0.88,1.1,1.43,1,0.89,1.07
LH0855,0.62,0.76,0.83,0.83,0.81,0.73
LH0869,0.86,1.07,1.16,0.92,1.02,1.02
LH0871,1.2,1.16,1.12,1.05,0.94,1.03
SM0207,1.32,1.21,0.59,0.83,1.39,0.96
SM0209,1.03,1.12,1.17,1.12,1.01,1.16
SM0225,1.1,1,1.05,0.94,0.91,1.06
SM0259,1.25,1.24,1.29,1.21,1.19,1.41
SM0277,1.04,1.01,1.03,1.05,1.17,1.07
SM0281,1.05,1.06,1.21,0.95,0.85,1.12
SM0285,1.02,0.89,1.26,0.98,0.94,1.11
SM0289,1.22,1.12,1.07,0.93,0.93,0.93
SM0303,0.82,0.84,0.74,0.89,0.8,0.86
SM0315,0.98,1.19,1.38,1.01,0.95,1.08
SM0323,1.09,1.16,1.31,0.97,0.83,1.06
SM0329,1.29,1.06,1.42,1.09,0.86,0.87
SM0333,1.06,0.7,0.78,1.11,1.32,1.46
SM0349,0.91,1.21,1.36,1.03,0.95,1.11
SM0351,1.01,1.21,1.44,0.97,1,1.05
SM0355,0.92,1.52,0.96,1,0.85,0.73
SM0361,0.98,1.12,1.52,1.27,0.93,1.24
SM0365,1.03,1.08,0.87,1.03,0.96,1.01
SM0371,0.96,1.48,1.39,0.87,0.85,0.85
SM0377,1.02,0.79,1.03,1.29,0.99,1.16
SM0485,0.76,0.83,0.7,0.97,0.83,0.96
SM0487,0.72,0.94,1.18,1.05,0.89,1.06
SM0671,1.05,1,1.02,0.85,0.86,1.16
DH1225,1.03,1.04,1.23,0.85,0.91,1
DH1241,1.21,0.97,1.07,1.02,1.12,1.49
DH1257,1.11,1.07,1.43,1.08,1.19,1.28
DH1273,1.32,1.48,1.54,1.09,1.08,1.14
DH1303,0.78,0.62,0.76,0.99,0.83,0.87
DH1317,1.04,0.98,1.21,1.24,0.97,1.04
DH1333,1.09,1.54,1.19,0.8,0.89,0.78
DH1349,1.15,0.72,0.96,1.11,1.13,1.29
DH1365,1.17,1.52,1.29,1.17,1.21,1.2
DH1377,1.03,2.01,1.51,1.16,0.95,1.27
DH1213,1.13,1.14,1.13,0.88,0.81,1.1
DH1227,1.23,1.18,0.93,0.95,0.82,0.99
DH1243,1.14,0.96,1.29,1.06,1.03,1.17
DH1259,1.01,1.24,1.17,0.97,1.03,0.87
DH1275,1.57,1.74,1.64,0.95,1.07,1.21
DH1289,0.92,1.43,1.28,0.86,0.97,0.99
DH1305,1.13,0.89,0.7,0.85,0.79,0.66
DH1319,0.96,1.01,1.17,0.86,0.95,0.95
DH1335,1.36,1.75,1.36,1.04,1.21,1.32
DH1351,0.94,1.41,0.75,0.65,0.74,0.8
DH1367,1.1,1.49,1.22,1.19,1.02,1.1
DH1379,0.95,0.76,0.98,1.01,1.05,1.04
DH1215,0.97,0.73,0.8,0.87,0.81,0.81
DH1229,0.93,0.99,1.15,1.09,0.93,0.86
DH1245,0.82,0.56,0.75,0.99,0.86,0.85
DH1261,0.99,1.54,1.24,0.86,0.92,0.96
DH1277,0.96,0.81,0.9,0.83,0.76,0.78
DH1291,1.2,1.61,1.03,0.98,0.86,1.04
DH1307,1.34,1.26,1.02,1.19,1.14,1.08
DH1321,0.89,0.86,0.87,0.83,0.76,0.9
DH1393,1.04,1,1.14,1.03,0.92,1.02
DH1353,1.1,1.3,1.23,1.04,0.91,1.17
DH1369,0.96,0.91,0.91,1.02,0.99,1.05
DH1381,1.2,1.39,1.46,1.16,1.16,1.04
DH1217,1.5,0.97,1.4,1.53,1.23,1.37
DH1231,1.19,1.09,1.21,1.01,1.03,1.34
DH1247,1.15,1.18,0.97,1.02,1.01,0.98
DH1263,0.93,0.94,1.03,0.97,0.94,1.13
DH1279,1.48,1.2,1.55,1.08,1.23,1.07
DH1293,0.99,1.01,1.08,1.08,0.92,1.1
