Shelf,number,Cereal,size_g,sugar_g,fat_g,sodium_mg
1,6,Kellogg's rice krispies,33,1,0.3,299
1,29,General Mills multi grain cheerios,29,6,1,207
1,1,Kellogg's corn flakes,28,2,0.2,202
1,10,Best choice wheat flakes,30,4,1,207
1,28,Post pebbles boulders,27,8,1.5,75
1,22,Kellogg's frosted flakes,30,11,0.7,150
1,11,Post fruity crisp rice,28,12,1.5,210
1,9,"Kellogg's frosted flakes with fiber, less sugar",30,8,0,178
1,8,General Mills kix,30,3,0.8,159
1,5,General Mills cheerios,28,1,1.8,200
2,23,Post alpha-bits,28,10,2,190
2,13,Kellogg's pops,32,10,0.2,120
2,15,Kellogg's froot loops,29,12,1,135
2,24,General Mills honey nut cheerios,28,9,1.6,204
2,9,Kellogg's special K blueberry,30,8,0,170
2,35,Best choice honey nut happyo's,28,9,1,190
2,12,Kellogg's apple jacks,28,12,0.5,130
2,34,Best choice maple crisp,30,11,3,120
2,26,Kellogg's honey smacks,27,15,0.5,50
2,18,General Mills cinnamon burst cheerios,32,9,2,125
3,3,Best choice apple cinnamon happyo's,30,13,2,162
3,16,Best choice cinnamon sugar bites,30,10,3.5,210
3,1,Kellogg's cinnamon,30,12,3,105
3,11,Best choice right choice,31,10,1,160
3,32,Kellogg's mini-wheats,55,12,0.8,5
3,14,Best choice honey oat cluster,32,6,1,150
3,22,Post honey bunches of oats,52,14,2.6,187
3,35,General Mills cinnamon toast crunch,31,10,2.8,210
3,29,Kellogg's frosted mini-wheats,52,12,0.9,5
3,4,Post great grains,54,13,4.5,156
4,9,Post raisin bran,59,19,1.1,360
4,7,Best Choice honey nut crisps,32,9,0,220
4,5,General Mills honey nut chex,32,9,0.5,220
4,14,Kellogg's rasin bran,53,20,1.3,342
4,2,Kellogg's special K origin,31,4,0.5,224
4,31,Reese Puffs,29,10,3.5,200
4,23,Kellogg's frosted mini wheats,54,11,0.9,5
4,11,Post great grains,54,13,4.5,156
4,8,Kellogg's special K red berries,31,9,0,220
4,12,General Mills total whole grain,30,5,0.5,190
5,9,Kellogg's fiber plus,32,7,1.5,140
5,18,Kellogg's all bran,30,8,1,200
5,12,Best choice granola low fat,55,16,2.5,180
5,27,Kellogg's crunchy nut,27,10,1,95
5,15,Kellogg's all bran complete wheat flakes,29,3,0.5,210
5,33,General Mills oatmeal crisp,60,6,4,125
5,23,Kellogg's smart start,50,3,0.5,280
5,3,Best choice enriched bran flakes,29,5,0.5,210
5,32,Post just bunches,57,14,7,80
5,8,General Mills cookie crisp,26,10,1,150
