Date,Day,Count
7/18/2011,Monday,1
7/19/2011,Tuesday,2
7/20/2011,Wednesday,7
7/21/2011,Thursday,4
7/22/2011,Friday,0
7/25/2011,Monday,2
7/26/2011,Tuesday,7
7/27/2011,Wednesday,0
7/28/2011,Thursday,0
7/29/2011,Friday,14
8/1/2011,Monday,1
8/2/2011,Tuesday,3
8/3/2011,Wednesday,7
8/4/2011,Thursday,6
8/5/2011,Friday,2
8/8/2011,Monday,3
8/9/2011,Tuesday,3
8/10/2011,Wednesday,3
8/11/2011,Thursday,11
8/12/2011,Friday,0
8/15/2011,Monday,1
8/16/2011,Tuesday,6
8/17/2011,Wednesday,7
8/18/2011,Thursday,9
8/19/2011,Friday,9
