Run,Greenhouse,Infest,Control,Plants,Virus3,Virus4,Virus5,Virus6,Virus7,Virus8
1,D,1,C,100,18,20,21,21,21,21
1,F,2,C,100,9,10,10,10,10,10
1,Q,1,B,100,12,12,19,19,19,19
1,U,1,N,100,30,30,30,36,40,40
2,D,2,C,100,2,11,30,30,30,30
2,F,2,B,100,0,8,18,18,21,30
2,Q,2,B,100,0,3,31,31,29,31
2,U,2,N,100,11,29,51,51,60,60
3,D,2,B,100,21,55,73,80,80,80
3,F,1,N,100,0,0,12,32,64,64
3,Q,1,C,100,0,0,12,16,37,37
3,U,1,B,100,2,9,12,14,37,44
4,D,1,B,100,5,11,15,15,15,15
4,F,2,N,100,16,24,26,27,28,32
4,Q,2,C,100,12,13,13,15,15,15
4,U,1,C,100,3,7,7,7,9,11
